-1815;73;-3541;1737596670880;world
-1815;69;-3544;1737596652779;world
-1815;73;-3540;1737596669429;world
-1815;73;-3543;1737596671630;world
-1815;71;-3544;1737596666228;world
-1815;73;-3542;1737596671276;world
-1815;69;-3540;1737596648529;world
-1815;71;-3540;1737596649478;world
-1822;69;-3546;1737596314448;world
-1822;71;-3546;1737596315848;world
-1818;69;-3546;1737596318746;world
-1815;73;-3544;1737596672179;world
-1818;71;-3546;1737596321349;world
-1815;70;-3544;1737596665728;world
-1815;72;-3544;1737596666727;world
-1815;70;-3540;1737596648980;world
-1815;72;-3540;1737596650078;world
-1819;72;-3546;1737596327297;world
-1818;72;-3546;1737596324597;world
-1821;72;-3546;1737596325697;world
-1822;70;-3546;1737596314948;world
-1820;72;-3546;1737596326750;world
-1818;70;-3546;1737596319399;world
-1822;72;-3546;1737596325347;world
